jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2021,45,7,sonstige Erträge,Gesamtsumme,,,344915.94
2021,45,7,sonstige Erträge,Teilergebnis,111000,Gemeindeorgane,43955.36
2021,45,7,sonstige Erträge,Teilergebnis,111003,Finanzverwaltung,14840.52
2021,45,7,sonstige Erträge,Teilergebnis,111004,Finanzbuchhaltung,1915.78
2021,45,7,sonstige Erträge,Teilergebnis,111006,Elektronische Datenverarbeitung,4381.19
2021,45,7,sonstige Erträge,Teilergebnis,111007,Eigene Bauverwaltung,3221.30
2021,45,7,sonstige Erträge,Teilergebnis,126001,FF Lensahn,14999.00
2021,45,7,sonstige Erträge,Teilergebnis,126100,JF Lensahn,399.00
2021,45,7,sonstige Erträge,Teilergebnis,531000,Elektritzitätsversorgung,129594.14
2021,45,7,sonstige Erträge,Teilergebnis,532000,Gasversorgung,16658.45
2021,45,7,sonstige Erträge,Teilergebnis,533000,Wasserversorgung,38063.10
2021,45,7,sonstige Erträge,Teilergebnis,551000,Grünanlagen,70128.78
2021,45,7,sonstige Erträge,Teilergebnis,551001,Kinderspielplätze,1610.71
2021,45,7,sonstige Erträge,Teilergebnis,573900,Bauhof,3221.30
2021,45,7,sonstige Erträge,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",1911.00
2021,45,7,sonstige Erträge,Teilergebnis,612000,sonstige allg. Finanzwirtschaft,16.31
