jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2021,41,2,Zuwendungen und allgemeine Umlagen,Gesamtsumme,,,2389188.40
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,111001,Hauptamt,9121.68
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126001,FF Lensahn,8913.74
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126002,FF Lensahnerhof,1282.32
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126003,FF Sipsdorf,462.76
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126004,FF Wahrendorf,1922.62
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,10564.05
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,272000,Gemeindebücherei,15761.44
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424000,Waldschwimmbad,156484.19
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424002,Sportplatz,3363.96
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424003,Sport- und Vereinsheim,977.82
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424004,Schießsportanlage,2139.84
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,541000,Gemeindestraßen,209855.04
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,541001,Straßenbeleuchtung,868.50
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,551000,Grünanlagen,420.00
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,551001,Kinderspielplätze,1673.94
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,553900,Ehrenfriedhof,594.00
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,573000,Veranstaltungssaal,380.76
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,573002,Eingangsbereich,115.62
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,575000,Fremdenverkehr,1572.58
2021,41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",1962713.54
