jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2023,448,6,Kostenerstattungen u. Kostenumlagen,Gesamtsumme,,,2859986.60
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111000,Gemeindeorgane,228377.56
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111001,Hauptamt,255433.30
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111002,Gleichstellungsbeauftragte,1884.00
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111003,Finanzverwaltung,283997.53
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111004,Finanzbuchhaltung,87008.31
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111005,Liegenschaftsverwaltung,36969.15
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111006,Elektronische Datenverarbeitung,160645.76
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111007,Eigene Bauverwaltung,91717.31
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,174380.54
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122001,Asylbewerber,101103.34
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122200,Melde- und Personenstandswesen,122393.05
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,126000,Gemeindewehrführer,53275.74
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,457100.26
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,243000,Sonstige schulische Aufgaben,52223.13
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,311000,Verwaltung der Grundsicherung nach SGB XII,99092.91
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,312000,Grundsicherung nach SGB II,110381.36
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,351000,Leistungen nach dem Wohngeldgesetz,76500.46
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,361100,Förderung Kindertageseinrichtungen,14314.52
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,362500,Sonstige Jugendarbeit,91.31
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424000,Waldschwimmbad,26.31
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424001,Großsporthalle,36763.25
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424002,Sportplatz,41313.82
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,511000,Bauleitplanung,48829.37
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,521000,Bauordnung,11494.98
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,533000,Wasserversorgung,186426.32
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541000,Gemeindestraßen,24964.70
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541001,Straßenbeleuchtung,15305.28
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,547000,Öffentlicher Personennahverkehr,16926.20
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551000,Grünanlagen,10.47
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551001,Kinderspielplätze,13071.61
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,573000,Veranstaltungssaal,5465.35
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,573900,Bauhof,12417.57
2023,448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,575000,Tourismus,40081.83
