jahr,kontenbereich,laufende_nummer,art,scope,produkt,produkt_name,ist_ergebnis_eur
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Gesamtsumme,,,225385.34
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,8732.00
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,122200,Melde- und Personenstandswesen,100.00
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,126000,Gemeindewehrführer,1414.97
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,272000,Gemeindebücherei,2574.40
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,424000,Waldschwimmbad,98718.08
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,541000,Gemeindestraßen,39910.00
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,541001,Straßenbeleuchtung,499.86
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,573000,Veranstaltungssaal,47277.32
2023,43,4,öffentlich-rechtliche Leistungsentgelte,Teilergebnis,575000,Tourismus,26158.71
