Kontenbereich,Lfd. Nr.,Art,Scope,Produkt,Produktname,2019,2020,2021,2022,2023,2024
448,6,Kostenerstattungen u. Kostenumlagen,Gesamtsumme,,,2606329.93,2789263.38,2684446.17,2822168.81,2859986.60,3168302.70
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111000,Gemeindeorgane,218440.80,237576.57,219338.95,365947.42,228377.56,262610.88
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111001,Hauptamt,226032.04,201807.77,243762.39,289435.15,255433.30,302334.07
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111002,Gleichstellungsbeauftragte,1664.00,1900.00,1884.00,,1884.00,1884.00
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111003,Finanzverwaltung,155616.16,230940.58,248997.05,277631.82,283997.53,343769.61
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111004,Finanzbuchhaltung,65067.26,77260.87,79555.79,90675.02,87008.31,89155.50
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111005,Liegenschaftsverwaltung,30658.98,35132.89,35031.70,36017.48,36969.15,39926.15
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111006,Elektronische Datenverarbeitung,42604.16,67199.19,68234.06,142532.29,160645.76,156542.61
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,111007,Eigene Bauverwaltung,26374.04,91906.90,62675.49,66610.25,91717.31,74569.79
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,123986.43,133629.44,162372.64,179796.28,174380.54,179899.48
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122001,Asylbewerber,132040.29,87270.31,65569.56,54972.33,101103.34,125891.92
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,122200,Melde- und Personenstandswesen,101233.94,128035.00,113726.57,119774.48,122393.05,142646.42
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,126000,Gemeindewehrführer,14935.81,13902.31,31610.60,13939.24,53275.74,56331.03
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,374678.53,400509.88,433408.91,443823.68,457100.26,579482.04
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,243000,Sonstige schulische Aufgaben,39737.17,39875.63,35804.68,37811.13,52223.13,53667.50
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,311000,Verwaltung der Grundsicherung nach SGB XII,63780.34,137583.32,71077.29,132189.59,99092.91,126475.81
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,312000,Grundsicherung nach SGB II,75168.81,85891.90,98129.40,98946.90,110381.36,99701.47
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,351000,Leistungen nach dem Wohngeldgesetz,39361.06,43162.43,38654.33,35916.57,76500.46,80036.25
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,361100,Förderung Kindertageseinrichtungen,442751.21,449595.62,287426.89,12543.59,14314.52,18663.76
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424001,Großsporthalle,34574.43,36743.08,36928.61,37349.67,36763.25,40491.37
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424002,Sportplatz,41031.03,,26345.71,28393.19,41313.82,32873.41
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,511000,Bauleitplanung,17442.26,35932.83,45305.70,47020.07,48829.37,48729.32
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,521000,Bauordnung,10962.06,12184.90,10142.09,9343.18,11494.98,11059.22
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,533000,Wasserversorgung,188900.67,160388.70,160826.09,174974.98,186426.32,198400.25
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541000,Gemeindestraßen,39829.80,-8745.24,9916.73,9857.90,24964.70,30464.52
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,541001,Straßenbeleuchtung,16475.86,-4568.28,4919.38,4446.44,15305.28,11810.28
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,547000,Öffentlicher Personennahverkehr,16798.04,22793.93,17293.35,17497.96,16926.20,5194.67
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551000,Grünanlagen,12640.18,-1747.91,4911.58,2751.53,10.47,
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,551001,Kinderspielplätze,6133.30,21197.98,20052.40,24035.63,13071.61,578.73
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,573900,Bauhof,14383.25,11813.93,12397.63,13070.23,12417.57,12458.83
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,575000,Fremdenverkehr,33028.02,33718.70,34129.69,38861.34,,
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,272000,Gemeindebücherei,,99.54,13.00,5.00,,105.84
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,424000,Waldschwimmbad,,5893.61,,617.48,26.31,
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,573000,Veranstaltungssaal,,377.00,,,5465.35,
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,362500,Sonstige Jugendarbeit,,,4003.91,15380.99,91.31,
448,6,Kostenerstattungen u. Kostenumlagen,Teilergebnis,575000,Tourismus,,,,,40081.83,42547.97
