Kontenbereich,Lfd. Nr.,Art,Scope,Produkt,Produktname,2019,2020,2021,2022,2023,2024
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Gesamtsumme,,,80840.01,425088.86,145293.95,153315.75,161761.29,179396.41
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,111001,Hauptamt,100.00,250.00,776.70,,143.75,370.91
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,111005,Liegenschaftsverwaltung,36571.63,35207.52,33932.45,34549.95,51455.97,111130.77
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,22.00,,3014.80,4908.02,5504.42,-6942.27
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126000,Gemeindewehrführer,478.12,,1178.24,942.44,1340.35,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126001,FF Lensahn,1682.91,1957.97,2719.65,3135.76,1614.22,2943.65
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126002,FF Lensahnerhof,4978.05,685.20,120.00,1415.34,1077.45,1049.79
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126003,FF Sipsdorf,842.55,1042.99,1676.17,3217.86,11410.75,1485.04
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126004,FF Wahrendorf,116.98,12.18,,314.40,466.84,638.14
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,272000,Gemeindebücherei,1636.51,1164.00,1231.50,1655.55,2742.25,4360.99
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,281000,Heimat- und sonstige Kulturpflege,277.88,323.80,2742.96,237.80,367.00,568.40
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,331000,Förderung der Wohlfahrtspflege,5128.45,8031.20,5551.38,4454.20,8124.70,3884.73
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424000,Waldschwimmbad,8786.82,8021.15,21103.39,13057.94,15987.96,14203.05
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424003,Sport- und Vereinsheim,413.57,430.35,716.82,462.11,529.82,575.21
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424004,Schießsportanlage,366.49,2380.90,733.72,511.73,1129.48,2380.69
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424005,Kegelbahn,4240.26,6884.24,6034.45,4927.38,7343.61,7995.33
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,537000,Abfallbeseitigung,2753.23,3545.69,3003.69,3566.40,3050.32,2676.47
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,538001,öffentliche Toiletten,321.30,,,,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,541000,Gemeindestraßen,2714.57,17063.58,9405.19,6262.56,8269.22,4120.19
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,541001,Straßenbeleuchtung,153.38,3913.34,6838.85,10088.03,31116.80,6541.93
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,551000,Grünanlagen,3551.16,-2947.38,350.15,,350.00,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573000,Veranstaltungssaal,5700.15,4752.08,5051.09,9517.24,5070.05,5367.56
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573900,Bauhof,4.00,265.97,24546.59,2122.58,1131.04,1008.85
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,533000,Wasserversorgung,,332045.45,,1.00,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,575000,Fremdenverkehr,,58.63,1041.34,1464.00,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,111000,Gemeindeorgane,,,1922.21,,120.70,271.77
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,,,1178.29,,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,311000,Verwaltung der Grundsicherung nach SGB XII,,,3844.98,,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,361100,Förderung Kindertageseinrichtungen,,,699.90,,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,424002,Sportplatz,,,5879.25,3242.64,3320.05,5752.03
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,573002,Eingangsbereich,,,0.19,,,1097.32
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,126100,JF Lensahn,,,,598.10,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,511001,Städtebausanierung,,,,42662.72,,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,575000,Tourismus,,,,,94.54,
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,511000,Bauleitplanung,,,,,,6000.00
"441, 442, 446",5,privatrechtliche Leistungsentgelte,Teilergebnis,531000,Elektritzitätsversorgung,,,,,,1915.86
