Kontenbereich,Lfd. Nr.,Art,Scope,Produkt,Produktname,2019,2020,2021,2022,2023,2024
45,7,sonstige Erträge,Gesamtsumme,,,582555.79,1147479.52,344915.94,178485.18,674563.40,825875.85
45,7,sonstige Erträge,Teilergebnis,111000,Gemeindeorgane,1562.33,82966.93,43955.36,3067.00,54332.60,32795.00
45,7,sonstige Erträge,Teilergebnis,111003,Finanzverwaltung,30950.75,22104.88,14840.52,,56876.00,86116.17
45,7,sonstige Erträge,Teilergebnis,111004,Finanzbuchhaltung,7239.83,921.19,1915.78,1151.44,5340.50,49047.80
45,7,sonstige Erträge,Teilergebnis,111005,Liegenschaftsverwaltung,313901.60,362.12,,,,
45,7,sonstige Erträge,Teilergebnis,111006,Elektronische Datenverarbeitung,21111.54,118.57,4381.19,,11011.00,137198.21
45,7,sonstige Erträge,Teilergebnis,531000,Elektritzitätsversorgung,132678.39,134390.66,129594.14,126080.00,125891.29,130880.00
45,7,sonstige Erträge,Teilergebnis,532000,Gasversorgung,27038.12,12809.12,16658.45,8329.23,20941.08,13418.05
45,7,sonstige Erträge,Teilergebnis,533000,Wasserversorgung,36600.28,36796.71,38063.10,39586.51,39080.48,47245.06
45,7,sonstige Erträge,Teilergebnis,573900,Bauhof,2916.37,16628.13,3221.30,,10417.00,146962.19
45,7,sonstige Erträge,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",8547.60,15439.00,1911.00,271.00,335134.45,3801.00
45,7,sonstige Erträge,Teilergebnis,612000,sonstige allg. Finanzwirtschaft,8.98,800000.00,16.31,,,
45,7,sonstige Erträge,Teilergebnis,111007,Eigene Bauverwaltung,,16628.13,3221.30,,10420.00,112983.84
45,7,sonstige Erträge,Teilergebnis,551001,Kinderspielplätze,,8314.08,1610.71,,5209.00,56491.42
45,7,sonstige Erträge,Teilergebnis,126001,FF Lensahn,,,14999.00,,-90.00,
45,7,sonstige Erträge,Teilergebnis,126100,JF Lensahn,,,399.00,,,
45,7,sonstige Erträge,Teilergebnis,551000,Grünanlagen,,,70128.78,,,
45,7,sonstige Erträge,Teilergebnis,122000,Allgemeine Ordnungsangelegenheiten,,,,,,70.00
45,7,sonstige Erträge,Teilergebnis,424000,Waldschwimmbad,,,,,,6378.11
45,7,sonstige Erträge,Teilergebnis,541000,Gemeindestraßen,,,,,,2489.00
