Kontenbereich,Lfd. Nr.,Art,Scope,Produkt,Produktname,2019,2020,2021,2022,2023,2024
41,2,Zuwendungen und allgemeine Umlagen,Gesamtsumme,,,2081113.17,2882152.36,2389188.40,2764693.92,2577797.67,1550911.59
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,111001,Hauptamt,9121.68,9121.68,9121.68,9121.68,9121.68,9121.68
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126001,FF Lensahn,6872.93,7766.33,8913.74,11370.20,11975.32,15942.59
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126002,FF Lensahnerhof,1282.26,1282.27,1282.32,1623.24,1501.00,1501.02
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126003,FF Sipsdorf,561.12,540.30,462.76,571.34,1874.68,2047.52
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,126004,FF Wahrendorf,2482.20,2482.20,1922.62,1619.38,93.06,93.06
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,218200,Grund- und Gemeinschaftsschule Lensahn,10067.16,10525.63,10564.05,10769.33,10825.23,13704.37
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,272000,Gemeindebücherei,14755.00,15511.39,15761.44,16430.65,12008.49,15970.37
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424000,Waldschwimmbad,18991.76,19434.82,156484.19,163875.02,53580.17,35641.85
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424003,Sport- und Vereinsheim,977.82,977.82,977.82,977.82,977.82,977.82
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424004,Schießsportanlage,2139.84,2139.84,2139.84,2139.84,2139.84,2139.84
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,541000,Gemeindestraßen,197450.02,197310.84,209855.04,210143.09,210300.97,208187.79
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,541001,Straßenbeleuchtung,868.44,868.49,868.50,1312.86,1312.86,1312.86
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,551001,Kinderspielplätze,2645.34,2402.43,1673.94,1534.44,,
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,553900,Ehrenfriedhof,564.00,594.00,594.00,594.00,594.00,594.00
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,573000,Veranstaltungssaal,1153.98,1153.92,380.76,309.69,238.62,238.62
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,573002,Eingangsbereich,115.62,115.62,115.62,115.62,115.62,115.62
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",1811064.00,2608179.71,1962713.54,2307190.16,2208504.00,1170863.00
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424002,Sportplatz,,840.99,3363.96,4062.86,4062.90,4597.72
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,551000,Grünanlagen,,70.00,420.00,420.00,420.00,420.00
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,575000,Fremdenverkehr,,834.08,1572.58,1571.04,,
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,511000,Bauleitplanung,,,,16275.00,11245.50,
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,511001,Städtebausanierung,,,,2666.66,31999.92,58467.00
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,424005,Kegelbahn,,,,,1834.95,4403.88
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,538001,öffentliche Toiletten,,,,,1500.00,3000.00
41,2,Zuwendungen und allgemeine Umlagen,Teilergebnis,575000,Tourismus,,,,,1571.04,1570.98
