Kategorie,Unterkategorie,Detailtyp,Produkt,Produktname,Kennzahl,2018,2019,2020,2021,2022,2023,2024
Erträge,Gesamtsumme,Aggregat,,,Ertrag,"10.372.609,27","11.273.596,67","12.196.527,30","11.846.389,37","15.154.533,48","15.133.940,74","13.423.743,68"
Finanzerträge,Gesamtsumme,Aggregat,,,Ertrag,"63.196,07","73.284,27","69.664,67","67.197,36","66.542,16","53.839,93","62.771,47"
Steuern und ähnliche Abgaben,Gesamtsumme,Aggregat,,,Ertrag,"5.544.096,15","5.734.034,71","4.809.378,13","6.122.902,62","9.019.607,70","8.634.446,44","7.424.229,54"
Steuern und ähnliche Abgaben,Ausgleichsleistungen Fam.lastenausgl.,Steuerart,,,Ertrag,"142.140,00","154.836,00","170.736,00","174.720,00",,,
Steuern und ähnliche Abgaben,Einkommensteueranteile,Steuerart,,,Ertrag,"1.686.573,00","1.725.900,00","1.730.786,00","1.839.966,00","1.935.299,00","2.123.006,00","2.125.132,00"
Steuern und ähnliche Abgaben,Gewerbesteuer,Steuerart,,,Ertrag,"2.640.435,39","2.725.655,96","1.795.849,79","3.025.872,66","5.736.613,93","5.136.388,78","3.874.541,89"
Steuern und ähnliche Abgaben,Gewerbesteuer,Betriebsgrößenklasse: bis 1.000 EUR,,bis 1.000 EUR,Anzahl Betriebe,,15,22,18,18,15,17
Steuern und ähnliche Abgaben,Gewerbesteuer,Betriebsgrößenklasse: keine Gewerbesteuer,,keine Gewerbesteuer,Anzahl Betriebe,,34,52,51,38,35,39
Steuern und ähnliche Abgaben,Gewerbesteuer,Betriebsgrößenklasse: über 1.000 bis 10.000 EUR,,über 1.000 bis 10.000 EUR,Anzahl Betriebe,,60,56,61,62,70,62
Steuern und ähnliche Abgaben,Gewerbesteuer,Betriebsgrößenklasse: über 10.000 bis 100.000 EUR,,über 10.000 bis 100.000 EUR,Anzahl Betriebe,,23,23,23,23,22,25
Steuern und ähnliche Abgaben,Gewerbesteuer,Betriebsgrößenklasse: über 100.000 EUR,,über 100.000 EUR,Anzahl Betriebe,,4,3,6,7,5,5
Steuern und ähnliche Abgaben,Grundsteuer A,Steuerart,,,Ertrag,"41.632,82","41.688,74","41.624,65","41.359,24","41.199,57","41.261,05","41.178,82"
Steuern und ähnliche Abgaben,Grundsteuer B,Steuerart,,,Ertrag,"523.626,17","530.988,09","534.121,49","558.954,67","550.768,24","571.714,72","569.095,49"
Steuern und ähnliche Abgaben,Hundesteuer,Steuerart,,,Ertrag,"33.889,14","35.777,48","37.762,57","537,18","46.424,00","47.760,00","48.746,00"
Steuern und ähnliche Abgaben,"Steuern, allg. Zuweisungen, allg. Umlagen",Teilergebnis,611000,"Steuern, allg. Zuweisungen, allg. Umlagen",Ertrag,,"5.734.034,71","4.809.378,13","6.122.902,62","9.019.607,70","8.634.446,44","7.424.229,54"
Steuern und ähnliche Abgaben,Umsatzsteueranteile,Steuerart,,,Ertrag,"320.946,00","356.124,00","386.073,00","408.229,00","345.405,00","364.588,00","360.852,00"
Steuern und ähnliche Abgaben,Vergnügungssteuer,Steuerart,,,Ertrag,"154.738,63","163.064,44","111.349,63","72.363,87","157.439,96","145.025,89","195.301,34"
Zuwendungen und allgemeine Umlagen,Gesamtsumme,Aggregat,,,Ertrag,"1.328.491,74","2.081.113,17","2.882.152,36","2.389.188,40","2.764.693,92","2.577.797,67","1.550.911,59"
Zuwendungen und allgemeine Umlagen,Bauleitplanung,Teilergebnis,511000,Bauleitplanung,Ertrag,,,,,"16.275,00","11.245,50",
Zuwendungen und allgemeine Umlagen,Ehrenfriedhof,Teilergebnis,553900,Ehrenfriedhof,Ertrag,,"564,00","594,00","594,00","594,00","594,00","594,00"
Zuwendungen und allgemeine Umlagen,Eingangsbereich,Teilergebnis,573002,Eingangsbereich,Ertrag,,"115,62","115,62","115,62","115,62","115,62","115,62"
Zuwendungen und allgemeine Umlagen,FF Lensahn,Teilergebnis,126001,FF Lensahn,Ertrag,,"6.872,93","7.766,33","8.913,74","11.370,20","11.975,32","15.942,59"
Zuwendungen und allgemeine Umlagen,FF Lensahnerhof,Teilergebnis,126002,FF Lensahnerhof,Ertrag,,"1.282,26","1.282,27","1.282,32","1.623,24","1.501,00","1.501,02"
Zuwendungen und allgemeine Umlagen,FF Sipsdorf,Teilergebnis,126003,FF Sipsdorf,Ertrag,,"561,12","540,30","462,76","571,34","1.874,68","2.047,52"
Zuwendungen und allgemeine Umlagen,FF Wahrendorf,Teilergebnis,126004,FF Wahrendorf,Ertrag,,"2.482,20","2.482,20","1.922,62","1.619,38","93,06","93,06"
