Kategorie,2023,2024,Differenz
Steuern und ähnliche Abgaben,"8.631.596,44","7.422.679,54","-1.208.916,90"
Grundsteuer A,"41.261,05","41.178,82","-82,23"
Grundsteuer B,"571.714,72","569.095,49","-2.619,23"
Gewerbesteuer,"5.136.388,78","3.874.541,89","-1.261.846,89"
Hundesteuer,"47.760,00","48.746,00","986,00"
Vergnügungssteuer,"145.025,89","195.301,34","50.275,45"
Einkommensteueranteile,"2.123.006,00","2.125.132,00","2.126,00"
Bedarfszuweisung nach § 32 FAG,"201.852,00","207.832,00","5.980,00"
Umsatzsteueranteile,"364.588,00","360.852,00","-3.736,00"
Zuwendungen und allgemeine Umlagen,"2.326.033,07","1.290.878,69","-1.035.154,38"
Schlüsselzuweisungen,"1.026.960,00","140.328,00","-886.632,00"
Schlüsselzuweisungen übergem. Aufgaben,"1.121.544,00","992.688,00","-128.856,00"
sonstige lfd. Zuweisungen,"177.529,07","157.862,69","-19.666,38"
sonstige Erträge,"4.176.311,23","4.710.185,45","533.874,22"
lfd. Erträge,"15.133.940,74","13.423.743,68","-1.710.197,06"
Finanzerträge,"53.839,93","62.771,47","8.931,54"
Gesamterträge,"15.187.780,67","13.486.515,15","-1.701.265,52"
Personalaufwendungen,"4.453.972,22","5.290.282,58","836.310,36"
Versorgungsaufwendungen,"11.882,49","14.695,19","2.812,70"
Aufwendungen für Sach- und Dienstleistungen,"1.375.723,89","1.308.959,30","-66.764,59"
Abschreibungen,"537.635,47","635.682,03","98.046,56"
Allgemeine Umlagen,"3.843.126,00","4.395.088,00","551.962,00"
Kreisumlage,"2.344.307,00","2.533.721,00","189.414,00"
Amtsumlage,"1.498.819,00","1.721.837,00","223.018,00"
Finanzausgleichsumlage,"0,00","139.530,00","139.530,00"
aufgabenbezogene Umlagen,"2.472.426,09","2.804.129,60","331.703,51"
Schulumlage,"1.117.015,00","1.069.378,00","-47.637,00"
Schulkostenbeiträge,"344.262,33","443.461,02","99.198,69"
Pauschalfinanzierung Tagespflege,"107.389,19","98.429,58","-8.959,61"
sonstige Kostenbeteiligungen,"0,00","0,00","0,00"
Gewerbesteuerumlage,"308.966,00","561.331,00","252.365,00"
sonstige Aufwendungen,"741.238,28","873.768,59","132.530,31"
lfd. Aufwendungen,"13.436.004,44","15.322.605,29","1.886.600,85"
Finanzaufwendungen,"7.609,69","20.382,44","12.772,75"
Gesamtaufwendungen,"13.443.614,13","15.342.987,73","1.899.373,60"
Jahresergebnis,"1.744.166,54","-1.856.472,58","-3.600.639,12"
